	city	lat	long	color
128	vianen	51.9745854	5.08153625116687	rgb(215,48,39)
129	spijkenisse	51.84342795	4.3353296460572786	rgb(253,174,97)
130	oostrum	53.33418265	6.04965465090141	rgb(254,224,139)
131	maarssen	52.14133465	5.04773380628553	rgb(217,239,139)
132	grave	51.76025475	5.733886233930299	rgb(166,217,106)
133	lisserbroek	52.2534731	4.5831229212462015	rgb(166,217,106)
134	vierpolders	51.885173	4.17912177853837	rgb(254,224,139)
135	dieren	52.04896675	6.08921219674317	rgb(254,224,139)
136	panningen	51.32930635	5.97218136297312	rgb(253,174,97)
137	nieuwegein	52.0298704	5.09293340872922	rgb(217,239,139)
138	amstelveen	52.2862177	4.852649259746031	rgb(254,224,139)
139	hendrik-ido-ambacht	51.84664995	4.63428041666292	rgb(215,48,39)
140	katwijk	52.19660355	4.39680477612367	rgb(215,48,39)
141	pijnacker	52.00922265	4.43232647277679	rgb(220,220,220)
142	peize	53.15881085	6.509715494109888	rgb(166,217,106)
143	nieuw-vennep	52.26271205	4.63519370856647	rgb(254,224,139)
144	overveen	52.4059712	4.564469049849901	rgb(217,239,139)
145	bleiswijk	52.0244514	4.5305226622013	rgb(254,224,139)
146	poorugaal			rgb(253,174,97)
147	reigerlaan	51.9522612	6.3068371	rgb(166,217,106)
148	itens	53.1039166	5.6436633449527	rgb(215,48,39)
149	made	51.6813534	4.80592537842182	rgb(166,217,106)
150	de meern	52.07801955	5.03061503267256	rgb(220,220,220)
151	moordrecht	51.9985235	4.6474435494465585	rgb(18,106,56)
152	tijnje	53.200153	5.8303877	rgb(166,217,106)
153	velp	51.9994663	5.97884944568664	rgb(254,224,139)
154	epe	52.3467875	5.9837267	rgb(217,239,139)
155	berkel-enschot	51.57018575	5.13146886181979	rgb(166,217,106)
156	gilze	51.5369861	4.919845009836862	rgb(253,174,97)
157	willemsoord	52.8288426	6.07096170076923	rgb(166,217,106)
158	amsterdan	52.3729116	4.8781597	rgb(18,106,56)
159	capelle aan den ijssel	51.9358538	4.58946093551115	rgb(217,239,139)
160	wouw	51.52911765	4.3935939141115	rgb(254,224,139)
161	culemborg	51.94933145	5.20921518362178	rgb(254,224,139)
162	helvoirt	51.6427758	5.20202723176112	rgb(166,217,106)
163	waalre	51.3876404	5.4476871	rgb(217,239,139)
164	erm	52.74556170000001	6.80237528413231	rgb(254,224,139)
165	hauwert	52.7090232	5.09804895109876	rgb(220,220,220)
166	anna paulowna	52.86006795	4.833328218710402	rgb(217,239,139)
167	sint maartensbrug	52.78142755	4.724285428857152	rgb(253,174,97)
168	jubbega	52.98117425	6.114336318116901	rgb(215,48,39)
169	bennekom	52.0096139	5.66393024794568	rgb(215,48,39)
170	ten boer	53.2736753	6.697503045711612	rgb(253,174,97)
171	krinpen aan den ijssel			rgb(220,220,220)
172	amsterdam zo			rgb(253,174,97)
173	uithuizen	53.40745210000001	6.6732041	rgb(215,48,39)
174	steenwijk	52.79259520000001	6.1303395612508895	rgb(244,109,67)
175	ternaard	53.39566385	5.94362632080266	rgb(217,239,139)
176	aerdenhout	52.3600051	4.58864268696828	rgb(26,152,80)
177	klazienaveen	52.71757095	6.989707872016621	rgb(166,217,106)
178	velserbroek	52.4345321	4.66103335126984	rgb(217,239,139)
179	arcen	51.4827286	6.19469964706897	rgb(253,174,97)
180	luijksgestel	51.5872492	4.9990227	rgb(220,220,220)
181	andijk	52.76200955	5.21231093701021	rgb(215,48,39)
182	hulsel	51.38765415	5.177803617331549	rgb(26,152,80)
183	abcoude	52.2676873	4.97191998395665	rgb(254,224,139)
184	hantumhuizen	53.37110895	5.99676415877311	rgb(217,239,139)
185	paesens	53.40133335	6.09655209533991	rgb(217,239,139)
186	driemond	52.3054047	5.0165495	rgb(217,239,139)
187	swifterbant	52.58807829999999	5.6509401374272406	rgb(217,239,139)
188	holwerd	53.3710012	5.900338623681232	rgb(215,48,39)
189	slootdorp	52.8665672	4.96401070325312	rgb(253,174,97)
190	leiderdorp	52.15705765	4.543378647059759	rgb(166,217,106)
191	wassenaar	52.14361135	4.37096681867845	rgb(220,220,220)
192	well	51.56704565	6.0974341306937	rgb(217,239,139)
193	kudelstaart	52.23393400000001	4.72979366167728	rgb(254,224,139)
194	winschoten	53.1423435	7.04255899453389	rgb(215,48,39)
195	stiens	53.2658204	5.78283775760041	rgb(253,174,97)
196	hoorn nh	52.62254545	5.0677265881478215	rgb(215,48,39)
197	enschede	52.22336325	6.87059566409799	rgb(253,174,97)
198	woudenberg	52.08025955	5.41222657616449	rgb(217,239,139)
199	uden	51.66325850000001	5.617652092763572	rgb(215,48,39)
200	ede	52.0458265	5.6702011	rgb(215,48,39)
201	dalfsen	52.5128208	6.255687381992072	rgb(220,220,220)
202	simpelveld	50.83554960000001	5.9827262	rgb(254,224,139)
203	buurse	52.1454412	6.830709599999999	rgb(166,217,106)
204	alkmaar	52.63373645	4.7402031936764	rgb(253,174,97)
205	burum	53.27234	6.22918	rgb(254,224,139)
206	broek op langedijk	52.67737025	4.800623054156231	rgb(220,220,220)
207	deurne	51.4611926	5.7914610999999985	rgb(217,239,139)
208	harkstede	53.2167608	6.708746144169692	rgb(215,48,39)
209	rozendaal	52.03947520000001	5.96302498250436	rgb(220,220,220)
210	den burg	53.054883	4.797410063956259	rgb(217,239,139)
211	beilen	52.86250555	6.49376123149925	rgb(215,48,39)
212	etten-leur	51.57593705	4.64322159394737	rgb(18,106,56)
213	rhoon	51.8517013	4.4539080446252814	rgb(217,239,139)
214	poortugaal	51.8566592	4.3960824564647005	rgb(166,217,106)
215	alphen aan den rijn	52.1343369	4.6561357	rgb(166,217,106)
216	wolvega	52.87179775	6.011329044868388	rgb(220,220,220)
217	huizen	52.29648445	5.24058204069026	rgb(217,239,139)
218	blaricum	52.28114015	5.29369132271622	rgb(217,239,139)
219	hulst	51.29100800000001	4.03741773697298	rgb(215,48,39)
220	est	51.85218	5.31269	rgb(215,48,39)
221	krommenie	52.50709355	4.76247638053931	rgb(215,48,39)
222	klarenbeek	52.166861	6.0607858	rgb(253,174,97)
223	keijenborg	52.031366	6.29107140133052	rgb(166,217,106)
224	haaften	51.8298993	5.20900425950064	rgb(215,48,39)
225	weert	51.24211215	5.70443516199548	rgb(215,48,39)
226	uithoorn	52.24400285	4.8281605063595086	rgb(166,217,106)
227	uithuizermeeden	53.45725075	6.76179415444962	rgb(215,48,39)
228	haren - nb	51.80233115	5.58179658322335	rgb(215,48,39)
229	bedum	53.3004869	6.596417	rgb(215,48,39)
230	zeddam	51.90726645	6.252359739659481	rgb(217,239,139)
231	zwijndrecht	51.82052005	4.62573151837953	rgb(220,220,220)
232	arkel	51.8655522	4.99668427545102	rgb(254,224,139)
233	wichmond	52.08484765	6.267368380838599	rgb(217,239,139)
234	heino	52.4440603	6.24482410381262	rgb(217,239,139)
235	wormer	52.50237425	4.82105517673193	rgb(253,174,97)
236	nieuw bergen	51.6049733	6.0531478	rgb(217,239,139)
237	leusden	52.1187668	5.41711889973408	rgb(215,48,39)
238	terneuzen	51.3254737	3.840311100000001	rgb(253,174,97)
239	lutjebroek	52.69721715	5.2008713891395	rgb(166,217,106)
240	kampen	52.55594839999999	5.9033303	rgb(166,217,106)
241	roosendaal	51.5304587	4.46449384552466	rgb(215,48,39)
242	rijswijk gld	51.9498613	5.35810589729489	rgb(217,239,139)
243	gennep	51.70096	5.96786315208325	rgb(166,217,106)
244	genmep			rgb(166,217,106)
245	hollandsche radjng			rgb(253,174,97)
246	hollandsche rading	52.18558255	5.206331562048071	rgb(253,174,97)
247	landgraaf	50.9024566	6.02931034376856	rgb(220,220,220)
248	hengelo	52.2523195	6.79552559080801	rgb(220,220,220)
249	moerkapelle	52.04563055	4.58442065222762	rgb(220,220,220)
250	vlaardingen	51.9227863	4.3295633788708505	rgb(215,48,39)
251	voorthuizen	52.1931475	5.6469144916433205	rgb(220,220,220)
252	sappemeer	53.16114795	6.79508592427354	rgb(215,48,39)
253	schalkwijk	51.992011	5.20019686070729	rgb(220,220,220)
254	schalwijk			rgb(254,224,139)
255	spijk	53.40084035	6.832359300429079	rgb(253,174,97)
256	rijswijk	52.03739335	4.32250283752741	rgb(254,224,139)
257	hoogkarspel	52.6901497	5.17310592437035	rgb(215,48,39)
258	varsseveld	51.9449141	6.467995612459982	rgb(217,239,139)
259	hardenberg	52.5691252	6.615938378617929	rgb(244,109,67)
260	heelweg	51.96102305	6.48831695948686	rgb(254,224,139)
261	westergeest	53.302850600000006	6.087804006873139	rgb(26,152,80)
262	purmerend	52.4997208	4.96442003688997	rgb(220,220,220)
263	boxtel	51.5903233	5.30587934176726	rgb(215,48,39)
264	dordrecht	51.7689546	4.68678905674013	rgb(215,48,39)
265	holten	52.28391725	6.399706039089402	rgb(254,224,139)
266	woerden	52.08701595	4.876687198673499	rgb(217,239,139)
267	groesbeek	51.7759402	5.93963742580844	rgb(215,48,39)
268	delfzijl	53.3809218	6.93109835966104	rgb(215,48,39)
269	zuidlaren	53.08584745	6.69668953148043	rgb(217,239,139)
270	oud-beijerland	51.80812165	4.40932445468359	rgb(220,220,220)
271	hoorn	52.62254545	5.0677265881478215	rgb(215,48,39)
272	cuijk	51.73429	5.87416	rgb(217,239,139)
273	adorp	53.2739438	6.5299662415083	rgb(215,48,39)
274	raalte	52.3894037	6.26173595118171	rgb(166,217,106)
275	doetinchm			rgb(220,220,220)
276	hendrik ido ambacht	51.84664995	4.63428041666292	rgb(215,48,39)
277	al ere	51.5031554	5.2645516	rgb(254,224,139)
278	schoonoord	52.83383675	6.777858396330428	rgb(217,239,139)
279	meppel	52.7117311	6.19729672453688	rgb(217,239,139)
280	roden	53.1331243	6.4277948933812095	rgb(254,224,139)
281	norg	53.07589415	6.46066275213896	rgb(217,239,139)
282	nieuwkuijk	51.6917904	5.1762561017711	rgb(217,239,139)
283	groningeb			rgb(254,224,139)
284	gramsbergen	52.61003475	6.673454661342139	rgb(244,109,67)
